Categoría: Todas las categorías

Semana,bitcoin: (Todo el mundo)
2020-10-11,12
2020-10-18,17
2020-10-25,18
2020-11-01,20
2020-11-08,20
2020-11-15,29
2020-11-22,29
2020-11-29,26
2020-12-06,22
2020-12-13,35
2020-12-20,35
2020-12-27,53
2021-01-03,88
2021-01-10,85
2021-01-17,54
2021-01-24,50
2021-01-31,45
2021-02-07,79
2021-02-14,75
2021-02-21,84
2021-02-28,55
2021-03-07,53
2021-03-14,55
2021-03-21,47
2021-03-28,48
2021-04-04,44
2021-04-11,52
2021-04-18,74
2021-04-25,52
2021-05-02,45
2021-05-09,60
2021-05-16,100
2021-05-23,71
2021-05-30,54
2021-06-06,53
2021-06-13,42
2021-06-20,51
2021-06-27,36
2021-07-04,30
2021-07-11,28
2021-07-18,34
2021-07-25,40
2021-08-01,32
2021-08-08,36
2021-08-15,33
2021-08-22,34
2021-08-29,28
2021-09-05,38
2021-09-12,27
2021-09-19,35
2021-09-26,28
2021-10-03,34
2021-10-10,37
2021-10-17,47
2021-10-24,38
2021-10-31,32
2021-11-07,40
2021-11-14,38
2021-11-21,37
2021-11-28,37
2021-12-05,41
2021-12-12,36
2021-12-19,32
2021-12-26,31
2022-01-02,41
2022-01-09,39
2022-01-16,42
2022-01-23,55
2022-01-30,40
2022-02-06,39
2022-02-13,32
2022-02-20,42
2022-02-27,39
2022-03-06,34
2022-03-13,29
2022-03-20,28
2022-03-27,31
2022-04-03,26
2022-04-10,26
2022-04-17,23
2022-04-24,24
2022-05-01,26
2022-05-08,58
2022-05-15,37
2022-05-22,31
2022-05-29,26
2022-06-05,25
2022-06-12,69
2022-06-19,52
2022-06-26,38
2022-07-03,33
2022-07-10,31
2022-07-17,32
2022-07-24,28
2022-07-31,24
2022-08-07,23
2022-08-14,24
2022-08-21,22
2022-08-28,23
2022-09-04,22
2022-09-11,23
2022-09-18,24
2022-09-25,21
2022-10-02,19
2022-10-09,18
2022-10-16,17
2022-10-23,18
2022-10-30,18
2022-11-06,34
2022-11-13,31
2022-11-20,25
2022-11-27,21
2022-12-04,19
2022-12-11,21
2022-12-18,18
2022-12-25,19
2023-01-01,19
2023-01-08,21
2023-01-15,25
2023-01-22,24
2023-01-29,22
2023-02-05,20
2023-02-12,20
2023-02-19,20
2023-02-26,19
2023-03-05,20
2023-03-12,27
2023-03-19,27
2023-03-26,23
2023-04-02,22
2023-04-09,25
2023-04-16,22
2023-04-23,21
2023-04-30,20
2023-05-07,20
2023-05-14,17
2023-05-21,17
2023-05-28,17
2023-06-04,19
2023-06-11,19
2023-06-18,22
2023-06-25,21
2023-07-02,20
2023-07-09,20
2023-07-16,19
2023-07-23,19
2023-07-30,18
2023-08-06,17
2023-08-13,20
2023-08-20,19
2023-08-27,19
2023-09-03,17
2023-09-10,17
2023-09-17,17
2023-09-24,15
2023-10-01,16
2023-10-08,16
2023-10-15,19
2023-10-22,27
2023-10-29,21
2023-11-05,24
2023-11-12,22
2023-11-19,21
2023-11-26,20
2023-12-03,32
2023-12-10,25
2023-12-17,23
2023-12-24,23
2023-12-31,29
2024-01-07,44
2024-01-14,26
2024-01-21,23
2024-01-28,20
2024-02-04,21
2024-02-11,30
2024-02-18,24
2024-02-25,44
2024-03-03,54
2024-03-10,48
2024-03-17,39
2024-03-24,33
2024-03-31,30
2024-04-07,32
2024-04-14,43
2024-04-21,27
2024-04-28,27
2024-05-05,22
2024-05-12,21
2024-05-19,24
2024-05-26,20
2024-06-02,21
2024-06-09,20
2024-06-16,19
2024-06-23,20
2024-06-30,21
2024-07-07,20
2024-07-14,24
2024-07-21,25
2024-07-28,22
2024-08-04,33
2024-08-11,21
2024-08-18,21
2024-08-25,18
2024-09-01,20
2024-09-08,19
2024-09-15,20
2024-09-22,18
2024-09-29,18
2024-10-06,19
2024-10-13,18
2024-10-20,18
2024-10-27,23
2024-11-03,37
2024-11-10,66
2024-11-17,54
2024-11-24,43
2024-12-01,51
2024-12-08,41
2024-12-15,46
2024-12-22,36
2024-12-29,33
2025-01-05,33
2025-01-12,33
2025-01-19,43
2025-01-26,31
2025-02-02,33
2025-02-09,24
2025-02-16,23
2025-02-23,35
2025-03-02,37
2025-03-09,33
2025-03-16,24
2025-03-23,22
2025-03-30,26
2025-04-06,31
2025-04-13,20
2025-04-20,23
2025-04-27,19
2025-05-04,23
2025-05-11,23
2025-05-18,28
2025-05-25,23
2025-06-01,21
2025-06-08,21
2025-06-15,19
2025-06-22,21
2025-06-29,19
2025-07-06,28
2025-07-13,32
2025-07-20,27
2025-07-27,27
2025-08-03,31
2025-08-10,48
2025-08-17,41
2025-08-24,36
2025-08-31,30
2025-09-07,28
2025-09-14,27
2025-09-21,28
2025-09-28,23
2025-10-05,28
2025-10-12,39
